HST.udfuv	http://archive.stsci.edu/siap/search.php?id=udfuv&
VLA.AL218	http://archive.stsci.edu/siap/search.php?id=al218&
UKIDSS DR1 SIAP	http://wfaudata.roe.ac.uk/ukidssdr1-siap/?
UKIDSS DR9 SIAP	http://wfaudata.roe.ac.uk/ukidssdr8-siap/?
NEAT	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
SFDdust	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=sfddust&
SUMSS	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
GRANAT	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=granat&
1420MHz	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
BATFLUX	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=batflux&
SDSSDR1-Color	http://skyserver.sdss.org/vo/DR1SIAP/SIAP.aspx?bandpass=*&format=image/jpeg&
HST.HDF	http://archive.stsci.edu/siap/search.php?id=HDF&
408MHz	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=408mhz&
UKIDSS	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=ukidss&
RASSBCK	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
BoRG	http://archive.stsci.edu/siap/search.php?id=borg&
ROSAT SIA	http://www.g-vo.org/rosat/SIAP?action=queryImage&siap=siap.service.rosat&
SHASSA	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
COMALS SIAP	http://vo.astro-wise.org/SIAP?FORM=VOTable&PROJECT=COMALS&
PHAT	http://archive.stsci.edu/siap/search.php?id=phat&
NED(images)	http://irsa.ipac.caltech.edu/cgi-bin/Atlas/nph-nedsiap?mission=NED&hdr_location=%5CNEDDataPath%5C&SIAP_ACTIVE=1&collection_desc=NASA%2FIPAC+Extragalactic+Database+Image+Data+Atlas+%28NED%29&
HEAVENS @ ISDC	http://www.isdc.unige.ch/vo-services/img-cutout?
HST.SGAL	http://archive.stsci.edu/siap/search.php?id=sgal&
PSPC1	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=pspc1&
VLA-FIRST	http://archive.stsci.edu/siap/search.php?id=vla-first&
SDSSDR3-U	http://casjobs.sdss.org/vo/DR3SIAP/SIAP.asmx/getSiapInfo?&FORMAT=image/fits&BANDPASS=u&
ESO_SIAP	http://archive.eso.org/apps/siaserver/EsoProxySiap?
SDSSdr7	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
HST.TNO	http://archive.stsci.edu/siap/search.php?id=TNO&
EGRET3D	http://skyview.gsfc.nasa.gov/cgi-bin/vo/sia.pl?survey=egret3d&
PSPC2	http://skyview.gsfc.nasa.gov/cgi-bin/query.pl
