XIDResult SSA	http://xcatdb.u-strasbg.fr/xidvo/ssaservice?collection=[SpectroscopicSample]&
Polarbase SSAP	http://polarbase.irap.omp.eu/cgi-bin/polarbase/ssa_polarbase.py?
POPSTAR+Kroupa	http://svo.cab.inta-csic.es/theory/db2vo/ssap.php?model=pop_kroupa
HEAVENS @ ISDC	http://www.isdc.unige.ch/vo-services/lc
ST-ECF/HST/SIA	http://www.stecf.org/hst-vo/hst_sia?
SVO HERBIG AeBe	http://sdc.cab.inta-csic.es/herbig/ssap.jsp?
FUSE SSA	http://vo.obspm.fr/cgi-bin/siap/ssapFUSE.pl?
WUPPE	http://archive.stsci.edu/ssap/search2.php?id=WUPPE&
CDFS SSA	http://www.g-vo.org/ssampe_102/SSA?archiveid=CDFS&
SSA Access	http://nova.iafe.uba.ar/icatespec/q_ssa_mixc/ssa_ms/ssap.xml?
ESO_SSAP	http://archive.eso.org/apps/ssaserver/EsoProxySsap?
OMC SSA	http://sdc.cab.inta-csic.es/omc/jsp/ssap.jsp?
califa ssa	http://dc.zah.uni-heidelberg.de/califa/q/s/ssap.xml?
INES ARCHIVE	http://sdc.cab.inta-csic.es/ines/jsp/ssap.jsp?
BeSS_SSAP	http://basebe.obspm.fr/cgi-bin/ssapBE_1.0.pl
6dF Spectra	http://wfaudata.roe.ac.uk/6dF-ssap/?
EUVE	http://archive.stsci.edu/ssap/search2.php?id=EUVE&
Nextgen	http://svo.cab.inta-csic.es/theory/db2vo/ssap.php?model=nextgen
GALEX	http://galex.stsci.edu/gxWS/SSAP/gxSSAP.aspx?
Husfeld	http://svo.cab.inta-csic.es/theory/db2vo/ssap.php?model=husfeld
